LAT;;;;;22.2783;22.2783;22.2783;22.2783;22.2783;22.2783;22.2783;22.2783;22.2783;22.2783;22.2783
LON;;;;;114.175;114.175;114.175;114.175;114.175;114.175;114.175;114.175;114.175;114.175;114.175
ASL;;;;;60.0000;60.0000;60.0000;60.0000;60.0000;60.0000;60.0000;60.0000;60.0000;60.0000;60.0000
CITY;;;;;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong
DOMAIN;;;;;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;10 m above gnd;10 m above gnd;80 m above gnd;80 m above gnd;900 mb;900 mb
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation (high resolution);Sunshine Duration;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Speed;Wind Direction
UNIT;;;;;°C;%;hPa;mm;min;km/h;°;km/h;°;km/h;°
AGGREGATION;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;8;8;8;8;8;8;8;8;8;8;8

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Sunshine Duration  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb]
2019;01;23;10;00;16.14;60.00;1022.50;0.00;60.00;26.73;64.47;28.51;65.38;7.56;90.00
2019;01;23;11;00;17.34;55.00;1022.70;0.00;60.00;27.01;68.91;28.70;70.20;5.32;61.70
2019;01;23;12;00;18.33;51.00;1022.10;0.00;60.00;25.62;72.84;27.16;75.41;5.01;21.04
2019;01;23;13;00;18.86;49.00;1021.30;0.00;60.00;23.16;78.34;24.09;80.54;6.84;360.00
2019;01;23;14;00;19.11;49.00;1020.80;0.00;60.00;20.72;82.01;21.32;85.16;8.76;9.46
2019;01;23;15;00;18.98;49.00;1020.20;0.00;60.00;19.13;85.68;19.44;88.94;12.57;23.63
2019;01;23;16;00;18.38;51.00;1019.80;0.00;60.00;18.72;88.90;19.45;92.12;18.19;27.07
2019;01;23;17;00;17.31;55.00;1019.50;0.00;60.00;17.65;92.34;18.45;95.60;22.38;27.80
2019;01;23;18;00;15.86;62.00;1019.80;0.00;60.00;15.52;93.99;18.45;95.60;22.70;27.38
2019;01;23;19;00;15.04;68.00;1020.10;0.00;6.85;14.44;94.29;20.21;94.09;21.75;28.69
2019;01;23;20;00;14.39;72.00;1019.90;0.00;0.00;10.82;93.81;15.91;95.19;22.91;45.00
2019;01;23;21;00;14.04;71.00;1020.10;0.00;0.00;11.52;90.00;16.94;92.44;23.78;50.53
2019;01;23;22;00;13.82;69.00;1020.40;0.00;0.00;12.62;86.73;18.72;88.90;23.19;53.84
2019;01;23;23;00;13.77;71.00;1020.60;0.00;0.00;13.40;83.83;20.19;86.93;21.75;65.56
2019;01;24;00;00;13.80;75.00;1020.20;0.00;0.00;14.56;81.47;21.75;83.35;22.31;72.15
2019;01;24;01;00;13.90;77.00;1020.00;0.00;0.00;16.45;79.92;24.34;82.35;23.22;71.00
2019;01;24;02;00;14.03;78.00;1020.00;0.00;0.00;18.36;78.69;27.29;81.66;22.45;77.97
2019;01;24;03;00;14.02;84.00;1019.90;0.00;0.00;20.52;74.74;29.80;78.15;22.53;77.07
2019;01;24;04;00;14.02;90.00;1019.90;0.00;0.00;23.69;73.22;31.35;74.69;21.75;83.35
2019;01;24;05;00;13.73;92.00;1020.00;0.00;0.00;25.41;69.25;33.37;69.81;20.16;91.02
2019;01;24;06;00;13.19;93.00;1020.60;0.00;0.00;26.00;68.05;33.96;68.88;19.92;96.23
2019;01;24;07;00;12.88;94.00;1020.90;0.00;0.00;25.74;69.54;32.91;70.18;18.60;104.57
2019;01;24;08;00;14.44;85.00;1021.10;0.00;56.69;27.56;70.14;32.33;71.16;18.06;113.50
2019;01;24;09;00;16.26;74.00;1021.40;0.00;58.72;29.62;73.77;32.49;74.58;18.53;119.05
2019;01;24;10;00;17.40;69.00;1021.80;0.00;60.00;30.12;75.47;33.79;75.82;16.18;122.28
2019;01;24;11;00;18.43;62.00;1022.00;0.00;38.30;29.80;78.15;32.91;79.92;12.74;137.29
2019;01;24;12;00;18.97;59.00;1021.50;0.00;60.00;29.02;82.87;31.81;84.81;11.38;161.57
2019;01;24;13;00;19.32;58.00;1020.70;0.00;60.00;27.40;86.99;29.90;87.93;11.53;181.79
2019;01;24;14;00;19.49;59.00;1020.20;0.00;60.00;25.93;88.41;28.44;90.00;12.52;198.43
2019;01;24;15;00;19.38;61.00;1019.80;0.00;60.00;24.84;90.00;26.29;91.57;13.36;207.26
2019;01;24;16;00;18.91;63.00;1019.50;0.00;60.00;23.77;91.74;25.60;93.22;12.90;210.14
2019;01;24;17;00;18.12;66.00;1019.20;0.00;60.00;22.37;93.69;24.91;94.14;11.49;212.20
2019;01;24;18;00;16.87;74.00;1019.70;0.00;60.00;20.53;92.01;25.22;92.45;9.51;209.48
2019;01;24;19;00;16.37;79.00;1020.00;0.00;7.54;19.11;93.24;24.52;93.37;7.75;201.80
2019;01;24;20;00;16.98;81.00;1019.10;0.00;0.00;21.83;103.35;28.83;105.95;9.18;138.18
2019;01;24;21;00;16.89;84.00;1019.40;0.00;0.00;23.31;103.39;30.31;105.85;11.59;143.84
2019;01;24;22;00;17.63;81.00;1019.70;0.00;0.00;24.37;102.80;29.69;104.04;15.65;156.97
2019;01;24;23;00;18.01;81.00;1020.00;0.00;0.00;22.91;98.13;27.76;99.71;21.60;180.00
2019;01;25;00;00;18.22;80.00;1019.90;0.00;0.00;22.37;93.69;27.87;95.93;22.03;175.31
2019;01;25;01;00;17.45;86.00;1019.70;0.00;0.00;22.68;89.09;29.16;90.00;22.96;170.98
2019;01;25;02;00;18.17;83.00;1019.80;0.00;0.00;23.89;83.95;29.63;85.12;20.86;158.75
2019;01;25;03;00;18.16;85.00;1019.80;0.00;0.00;24.44;80.68;29.78;82.36;22.41;156.32
2019;01;25;04;00;17.94;87.00;1019.70;0.00;0.00;24.72;77.38;29.44;78.00;25.20;143.13
2019;01;25;05;00;17.56;87.00;1019.80;0.00;0.00;24.45;76.37;28.82;77.01;22.47;144.78
2019;01;25;06;00;17.45;86.00;1020.30;0.00;0.00;24.72;77.38;28.95;79.25;22.07;151.76
2019;01;25;07;00;17.24;85.00;1020.90;0.00;0.00;24.92;79.18;29.66;79.51;26.49;137.20
2019;01;25;08;00;17.95;78.00;1021.20;0.00;0.00;26.34;79.77;30.96;81.30;25.57;144.74
2019;01;25;09;00;18.87;72.00;1021.60;0.00;0.00;27.70;81.03;31.67;81.50;24.86;145.62
2019;01;25;10;00;19.65;67.00;1022.10;0.00;42.77;27.82;79.56;30.96;81.30;22.96;138.81
2019;01;25;11;00;19.00;70.00;1022.40;0.00;43.40;26.12;78.07;28.59;79.11;18.50;142.91
2019;01;25;12;00;19.31;68.00;1022.00;0.00;53.62;24.45;76.37;26.63;76.72;14.76;135.00
2019;01;25;13;00;19.79;65.00;1021.40;0.00;50.43;22.01;74.83;23.75;75.96;10.95;117.41
2019;01;25;14;00;20.10;63.00;1020.80;0.00;0.00;19.39;74.93;21.13;76.20;7.21;92.86
2019;01;25;15;00;21.10;59.00;1020.40;0.00;53.62;16.60;77.47;17.23;79.16;5.63;63.43
2019;01;25;16;00;21.37;57.00;1020.10;0.00;56.17;13.80;82.50;14.47;84.29;6.76;25.20
2019;01;25;17;00;20.60;61.00;1020.10;0.00;50.43;10.45;88.03;10.81;88.09;10.08;360.00
2019;01;25;18;00;18.96;70.00;1020.70;0.00;55.53;6.88;96.01;7.99;97.77;15.48;358.67
2019;01;25;19;00;17.48;81.00;1021.30;0.00;8.22;5.94;104.04;6.49;93.18;20.48;10.12
2019;01;25;20;00;18.33;70.00;1021.10;0.00;0.00;2.90;172.87;0.72;180.00;25.95;23.72
2019;01;25;21;00;17.92;74.00;1021.50;0.00;0.00;2.41;116.57;1.48;75.96;30.43;27.47
2019;01;25;22;00;17.56;76.00;1022.00;0.00;0.00;3.24;90.00;3.40;57.99;36.64;33.38
2019;01;25;23;00;17.05;80.00;1022.40;0.00;0.00;6.29;76.76;6.29;66.37;36.41;43.80
2019;01;26;00;00;16.70;82.00;1022.30;0.00;0.00;7.59;58.57;7.29;57.09;40.48;46.08
2019;01;26;01;00;16.24;84.00;1022.50;0.00;0.00;9.45;40.36;11.99;48.65;44.43;52.57
2019;01;26;02;00;15.33;87.00;1022.80;0.00;0.00;12.10;30.38;16.61;29.90;46.58;60.86
2019;01;26;03;00;14.41;76.00;1022.80;0.00;0.00;18.09;31.16;27.29;36.42;43.96;58.39
2019;01;26;04;00;14.21;60.00;1022.90;0.00;0.00;21.57;33.42;27.96;34.51;43.16;58.30
2019;01;26;05;00;13.18;65.00;1023.10;0.00;0.00;23.11;37.41;28.17;38.77;44.46;58.24
2019;01;26;06;00;13.22;64.00;1023.70;0.00;0.00;25.50;41.57;33.13;42.36;46.72;61.46
2019;01;26;07;00;13.22;64.00;1024.30;0.00;0.00;27.75;45.53;35.13;45.83;46.54;64.82
2019;01;26;08;00;14.73;59.00;1024.70;0.00;57.07;28.78;46.52;32.86;47.22;42.97;74.45
2019;01;26;09;00;16.89;53.00;1025.10;0.00;60.00;29.18;51.01;30.70;50.71;40.51;84.39
2019;01;26;10;00;18.25;52.00;1025.40;0.00;60.00;29.35;56.50;31.86;57.93;38.85;82.55
2019;01;26;11;00;19.40;47.00;1025.40;0.00;60.00;29.83;60.34;32.53;62.30;36.87;80.45
2019;01;26;12;00;20.34;46.00;1024.90;0.00;60.00;28.36;66.04;30.42;69.21;34.20;89.40
2019;01;26;13;00;20.93;47.00;1024.30;0.00;60.00;27.79;73.44;29.69;75.96;30.30;76.95
2019;01;26;14;00;20.88;49.00;1023.90;0.00;60.00;26.12;78.07;27.65;81.76;30.35;67.69
2019;01;26;15;00;20.59;53.00;1023.40;0.00;60.00;25.33;84.29;27.02;87.71;27.21;64.11
2019;01;26;16;00;19.85;58.00;1023.10;0.00;60.00;25.92;90.00;28.45;91.45;24.97;47.34
2019;01;26;17;00;18.72;64.00;1022.80;0.00;60.00;27.42;93.76;30.02;95.51;26.47;45.00
2019;01;26;18;00;17.37;70.00;1023.10;0.00;60.00;28.14;93.67;33.57;94.30;23.68;45.62
2019;01;26;19;00;16.78;75.00;1023.50;0.00;8.89;29.56;92.79;35.69;92.89;21.64;44.33
