Date Time,NO2,O3,SO2,CO,PM10,PM2.5,station,aqhi_instant,aqi,aqhi_official
2019-03-22 04:00:00,34.7,16.4,3.0,,9.4,2.4,Sha Tin,2.0,10.0,2
2019-03-22 04:00:00,20.8,25.2,3.1,336.0,19.3,10.9,Yuen Long,2.0,45.0,2
2019-03-22 04:00:00,6.4,47.5,0.8,,15.1,9.7,Eastern,1.0,40.0,2
2019-03-22 04:00:00,22.6,28.1,3.6,,19.0,11.0,Kwun Tong,2.0,46.0,2
2019-03-22 04:00:00,33.6,16.3,6.7,,16.9,7.0,Sham Shui Po,2.0,29.0,2
2019-03-22 04:00:00,7.8,48.0,4.5,,13.6,10.3,Central/Western,1.0,43.0,2
2019-03-22 04:00:00,52.2,2.6,8.5,,24.1,15.5,Kwai Chung,3.0,58.0,2
2019-03-22 04:00:00,45.6,12.5,4.5,588.3,18.4,14.6,Central,3.0,56.0,2
2019-03-22 05:00:00,40.2,16.8,1.9,481.0,14.7,10.5,Causeway Bay,2.0,44.0,2
2019-03-22 05:00:00,32.4,19.1,3.6,587.8,21.0,14.0,Tuen Mun,2.0,55.0,2
2019-03-22 05:00:00,23.9,26.3,3.0,,17.0,13.0,Kwun Tong,2.0,53.0,2
2019-03-22 05:00:00,7.1,46.3,0.6,,12.3,7.9,Eastern,1.0,33.0,2
2019-03-22 05:00:00,41.1,15.9,6.0,661.8,16.8,11.0,Tseung Kwan O,2.0,46.0,2
2019-03-22 05:00:00,33.8,17.9,2.7,,12.3,4.2,Sha Tin,2.0,18.0,2
2019-03-22 05:00:00,22.1,23.6,3.0,326.5,20.8,11.4,Yuen Long,2.0,48.0,2
2019-03-22 05:00:00,40.0,15.0,3.8,545.5,16.6,12.6,Central,2.0,52.0,2
2019-03-22 05:00:00,37.5,16.7,6.9,543.1,19.8,13.6,Tsuen Wan,2.0,54.0,2
2019-03-22 05:00:00,38.9,15.0,1.4,444.4,17.7,12.9,Mong Kok,2.0,53.0,2
2019-03-22 05:00:00,17.4,13.1,5.4,329.8,18.4,13.6,Tap Mun,1.0,54.0,2
2019-03-22 05:00:00,53.1,1.8,8.6,,24.5,15.9,Kwai Chung,3.0,59.0,2
2019-03-22 05:00:00,39.2,3.5,2.0,,16.9,12.8,Tai Po,2.0,52.0,2
2019-03-22 05:00:00,28.2,22.4,4.1,,18.4,8.9,Sham Shui Po,2.0,37.0,2
2019-03-22 05:00:00,11.9,44.5,1.4,395.7,15.1,11.2,Tung Chung,1.0,46.0,2
2019-03-22 05:00:00,5.8,49.1,4.1,,12.8,9.8,Central/Western,1.0,41.0,2
2019-03-22 06:00:00,25.4,19.6,3.1,353.2,16.5,12.2,Yuen Long,2.0,51.0,2
2019-03-22 06:00:00,55.9,1.6,9.1,,23.2,14.6,Kwai Chung,3.0,56.0,2
2019-03-22 06:00:00,7.6,44.0,0.6,,13.2,7.9,Eastern,1.0,33.0,2
2019-03-22 06:00:00,31.2,20.1,2.5,,14.0,6.0,Sha Tin,2.0,25.0,2
2019-03-22 06:00:00,13.5,40.8,1.4,375.1,14.1,9.7,Tung Chung,1.0,40.0,2
2019-03-22 06:00:00,49.3,9.4,1.4,465.6,16.6,11.7,Mong Kok,3.0,48.0,2
2019-03-22 06:00:00,14.4,39.3,4.6,,12.1,8.8,Central/Western,1.0,37.0,2
2019-03-22 06:00:00,44.2,2.4,2.5,,16.8,13.3,Tai Po,3.0,54.0,2
2019-03-22 06:00:00,37.8,11.3,3.6,,18.0,9.9,Sham Shui Po,2.0,41.0,2
2019-03-22 06:00:00,39.9,8.1,4.3,611.3,21.1,13.0,Tuen Mun,2.0,53.0,2
2019-03-22 06:00:00,52.3,7.8,6.6,716.5,17.7,14.1,Tseung Kwan O,3.0,55.0,2
2019-03-22 06:00:00,16.6,10.1,5.4,305.2,16.6,12.1,Tap Mun,1.0,50.0,2
2019-03-22 06:00:00,47.6,10.6,3.9,,23.0,14.0,Kwun Tong,3.0,55.0,2
2019-03-22 06:00:00,26.2,26.3,1.3,338.0,12.6,8.1,Causeway Bay,2.0,33.0,2
2019-03-22 06:00:00,52.2,5.2,7.2,559.3,18.3,12.1,Tsuen Wan,3.0,50.0,2
2019-03-22 06:00:00,41.3,15.9,4.2,561.9,19.5,15.0,Central,2.0,57.0,2
2019-03-22 07:00:00,44.6,14.8,3.2,467.3,19.1,13.1,Causeway Bay,3.0,53.0,2
2019-03-22 07:00:00,39.9,13.4,3.3,453.9,15.0,,Yuen Long,,,2
2019-03-22 07:00:00,56.7,1.7,2.1,599.7,16.9,12.7,Mong Kok,3.0,52.0,2
2019-03-22 07:00:00,16.1,38.1,1.5,396.9,12.3,8.2,Tung Chung,1.0,34.0,2
2019-03-22 07:00:00,58.3,2.8,7.8,601.4,18.4,11.6,Tsuen Wan,3.0,48.0,2
2019-03-22 07:00:00,47.5,4.9,5.1,704.3,24.9,14.0,Tuen Mun,3.0,55.0,2
2019-03-22 07:00:00,34.3,20.6,3.9,527.5,21.3,15.9,Central,2.0,59.0,2
2019-03-22 07:00:00,45.5,7.7,2.9,,13.7,5.4,Sha Tin,2.0,22.0,2
2019-03-22 07:00:00,67.5,1.2,11.3,,27.7,18.6,Kwai Chung,4.0,65.0,2
2019-03-22 07:00:00,68.3,4.3,2.5,,17.0,14.0,Kwun Tong,4.0,55.0,2
2019-03-22 07:00:00,15.6,35.8,4.5,,13.7,10.1,Central/Western,1.0,42.0,2
2019-03-22 07:00:00,45.0,1.4,3.3,,21.1,17.4,Tai Po,3.0,62.0,2
2019-03-22 07:00:00,45.8,4.6,3.7,,15.2,9.1,Sham Shui Po,3.0,38.0,2
2019-03-22 07:00:00,58.9,4.1,7.8,799.7,15.9,12.6,Tseung Kwan O,3.0,52.0,2
2019-03-22 07:00:00,16.8,9.6,5.4,344.8,24.7,18.9,Tap Mun,2.0,65.0,2
2019-03-22 07:00:00,26.9,27.1,0.8,,13.0,10.8,Eastern,2.0,45.0,2
2019-03-22 08:00:00,52.2,5.9,7.5,808.8,14.9,12.0,Tseung Kwan O,3.0,50.0,2
2019-03-22 08:00:00,48.4,6.3,5.1,785.4,21.3,14.1,Tuen Mun,3.0,55.0,2
2019-03-22 08:00:00,54.7,14.4,3.8,469.0,26.8,18.6,Causeway Bay,3.0,65.0,2
2019-03-22 08:00:00,33.2,20.0,2.2,378.7,13.2,8.5,Tung Chung,2.0,35.0,2
2019-03-22 08:00:00,31.3,25.1,0.8,,17.3,15.6,Eastern,2.0,58.0,2
2019-03-22 08:00:00,18.8,34.7,4.5,,13.0,10.0,Central/Western,1.0,42.0,2
2019-03-22 08:00:00,56.2,4.7,7.1,676.8,18.6,12.8,Tsuen Wan,3.0,52.0,2
2019-03-22 08:00:00,48.5,10.5,4.6,636.7,16.9,12.4,Central,3.0,52.0,2
2019-03-22 08:00:00,42.8,7.3,2.7,,15.7,6.9,Sha Tin,2.0,29.0,2
2019-03-22 08:00:00,49.3,2.5,3.5,,23.8,18.9,Tai Po,3.0,65.0,2
2019-03-22 08:00:00,49.2,5.1,4.3,,19.5,12.1,Sham Shui Po,3.0,50.0,2
2019-03-22 08:00:00,58.1,2.4,2.6,519.7,18.1,13.1,Mong Kok,3.0,53.0,2
2019-03-22 08:00:00,23.5,8.1,5.5,345.0,18.3,14.7,Tap Mun,2.0,56.0,2
2019-03-22 08:00:00,66.8,1.4,12.0,,30.5,18.3,Kwai Chung,4.0,64.0,3
2019-03-22 08:00:00,68.6,5.3,3.5,,24.0,16.0,Kwun Tong,4.0,59.0,3
2019-03-22 08:00:00,39.6,16.9,3.5,418.1,26.0,13.9,Yuen Long,3.0,55.0,2
2019-03-22 09:00:00,48.2,8.1,5.4,775.0,31.1,18.1,Tuen Mun,3.0,64.0,2
2019-03-22 09:00:00,44.8,7.7,3.7,492.5,19.1,11.8,Tung Chung,3.0,49.0,2
2019-03-22 09:00:00,75.1,7.3,10.7,744.8,13.8,9.4,Central,4.0,39.0,2
2019-03-22 09:00:00,74.1,6.1,4.6,,27.0,16.0,Kwun Tong,4.0,59.0,3
2019-03-22 09:00:00,39.0,12.8,7.5,737.8,15.0,11.5,Tseung Kwan O,2.0,48.0,2
2019-03-22 09:00:00,40.2,9.5,2.7,,17.9,9.2,Sha Tin,2.0,38.0,2
2019-03-22 09:00:00,37.0,17.0,3.2,413.4,24.2,13.7,Yuen Long,2.0,54.0,2
2019-03-22 09:00:00,41.9,17.4,1.9,,20.4,16.9,Eastern,2.0,61.0,2
2019-03-22 09:00:00,53.0,8.9,7.7,661.2,19.5,13.2,Tsuen Wan,3.0,53.0,2
2019-03-22 09:00:00,76.8,0.4,6.9,594.2,23.6,16.3,Mong Kok,4.0,60.0,2
2019-03-22 09:00:00,46.3,10.5,3.1,,23.3,17.7,Tai Po,3.0,63.0,2
2019-03-22 09:00:00,52.5,4.8,5.8,,21.6,13.8,Sham Shui Po,3.0,55.0,2
2019-03-22 09:00:00,29.4,5.9,5.4,377.2,20.1,16.9,Tap Mun,2.0,61.0,2
2019-03-22 09:00:00,73.6,4.2,8.0,635.3,36.4,25.9,Causeway Bay,4.0,80.0,3
2019-03-22 09:00:00,62.5,2.8,11.9,,31.2,19.2,Kwai Chung,4.0,66.0,3
2019-03-22 09:00:00,32.0,19.5,11.7,,12.1,9.1,Central/Western,2.0,38.0,2
2019-03-22 10:00:00,45.7,9.6,3.6,,16.1,7.0,Sha Tin,3.0,29.0,2
